cpu_num,width,height,time
1,1000,10000,0.047621
1,1000,10000,0.044384
1,1000,10000,0.057914
1,1000,10000,0.050159
1,1000,10000,0.048546
1,1000,10000,0.044718
1,1000,10000,0.055791
1,1000,10000,0.045093
1,1000,10000,0.044982
1,1000,10000,0.044170
1,5000,10000,0.212991
1,5000,10000,0.211125
1,5000,10000,0.213007
1,5000,10000,0.230242
1,5000,10000,0.211016
1,5000,10000,0.214097
1,5000,10000,0.210819
1,5000,10000,0.210910
1,5000,10000,0.231068
1,5000,10000,0.226736
1,10000,10000,0.448684
1,10000,10000,0.429336
1,10000,10000,0.455872
1,10000,10000,0.443776
1,10000,10000,0.427722
1,10000,10000,0.423321
1,10000,10000,0.426711
1,10000,10000,0.426924
1,10000,10000,0.426929
1,10000,10000,0.433102
1,15000,10000,0.668945
1,15000,10000,0.645577
1,15000,10000,0.629928
1,15000,10000,0.650868
1,15000,10000,0.629137
1,15000,10000,0.674846
1,15000,10000,0.649159
1,15000,10000,0.650602
1,15000,10000,0.631703
1,15000,10000,0.667968
1,20000,10000,0.875990
1,20000,10000,0.873245
1,20000,10000,0.873652
1,20000,10000,0.869560
1,20000,10000,0.864016
1,20000,10000,0.865574
1,20000,10000,0.865550
1,20000,10000,0.869633
1,20000,10000,0.874720
1,20000,10000,0.879805
1,25000,10000,1.089469
1,25000,10000,1.087602
1,25000,10000,1.091613
1,25000,10000,1.089796
1,25000,10000,1.084901
1,25000,10000,1.076351
1,25000,10000,1.062646
1,25000,10000,1.083705
1,25000,10000,1.104920
1,25000,10000,1.097693
1,30000,10000,1.314129
1,30000,10000,1.295813
1,30000,10000,1.294457
1,30000,10000,1.298601
1,30000,10000,1.288145
1,30000,10000,1.303715
1,30000,10000,1.305840
1,30000,10000,1.304458
1,30000,10000,1.298834
1,30000,10000,1.298220
1,35000,10000,1.510844
1,35000,10000,1.521282
1,35000,10000,1.524412
1,35000,10000,1.528659
1,35000,10000,1.510719
1,35000,10000,1.511624
1,35000,10000,1.483589
1,35000,10000,1.535389
1,35000,10000,1.506230
1,35000,10000,1.513849
1,40000,10000,1.706227
1,40000,10000,1.730542
1,40000,10000,1.738740
1,40000,10000,1.734513
1,40000,10000,1.730320
1,40000,10000,1.726257
1,40000,10000,1.739830
1,40000,10000,1.430239
1,40000,10000,1.274821
1,40000,10000,1.311666
1,45000,10000,1.944993
1,45000,10000,1.883426
1,45000,10000,1.946040
1,45000,10000,1.959974
1,45000,10000,1.938705
1,45000,10000,1.909447
1,45000,10000,1.960320
1,45000,10000,1.944986
1,45000,10000,1.892039
1,45000,10000,1.949545
1,50000,10000,2.164732
1,50000,10000,2.145373
1,50000,10000,2.148347
1,50000,10000,2.151112
1,50000,10000,2.164451
1,50000,10000,2.139074
1,50000,10000,2.157947
1,50000,10000,2.171411
1,50000,10000,2.167085
1,50000,10000,2.146211
2,1000,10000,0.029519
2,1000,10000,0.029504
2,1000,10000,0.029973
2,1000,10000,0.030191
2,1000,10000,0.029670
2,1000,10000,0.047352
2,1000,10000,0.030631
2,1000,10000,0.029787
2,1000,10000,0.030302
2,1000,10000,0.029821
2,5000,10000,0.146357
2,5000,10000,0.137760
2,5000,10000,0.137207
2,5000,10000,0.139101
2,5000,10000,0.138860
2,5000,10000,0.134334
2,5000,10000,0.163892
2,5000,10000,0.138462
2,5000,10000,0.137475
2,5000,10000,0.141259
2,10000,10000,0.263080
2,10000,10000,0.254306
2,10000,10000,0.253827
2,10000,10000,0.264973
2,10000,10000,0.255218
2,10000,10000,0.186271
2,10000,10000,0.184059
2,10000,10000,0.188603
2,10000,10000,0.204759
2,10000,10000,0.185756
2,15000,10000,0.278975
2,15000,10000,0.333865
2,15000,10000,0.280597
2,15000,10000,0.272180
2,15000,10000,0.276007
2,15000,10000,0.280331
2,15000,10000,0.274395
2,15000,10000,0.278673
2,15000,10000,0.280154
2,15000,10000,0.278343
2,20000,10000,0.368988
2,20000,10000,0.392594
2,20000,10000,0.372030
2,20000,10000,0.370054
2,20000,10000,0.365703
2,20000,10000,0.368990
2,20000,10000,0.378380
2,20000,10000,0.358759
2,20000,10000,0.372364
2,20000,10000,0.363030
2,25000,10000,0.454079
2,25000,10000,0.454664
2,25000,10000,0.449652
2,25000,10000,0.473137
2,25000,10000,0.470814
2,25000,10000,0.450742
2,25000,10000,0.457339
2,25000,10000,0.470267
2,25000,10000,0.445481
2,25000,10000,0.449222
2,30000,10000,0.550311
2,30000,10000,0.545224
2,30000,10000,0.554379
2,30000,10000,0.544918
2,30000,10000,0.548364
2,30000,10000,0.547759
2,30000,10000,0.584834
2,30000,10000,0.534537
2,30000,10000,0.550075
2,30000,10000,0.539495
2,35000,10000,0.642668
